valid,urgent,aircraft,report,turbulence,atrcc,fl,lat,lon,year
2024-12-30 03:23:00,F,C680,VNY UA /OV VNY/TM 0323/FL026/TP C680/SK CLR/WX 8/TA 12/WV 9/TB LIGHT TURBULENCE,LIGHT TURBULENCE,ZLA,2600,34.20972,-118.48917,2024
2024-12-30 03:23:00,F,C680,VNY UA /OV VNY/TM 0323/FL026/TP C680/SK UNKN/WX UNKN/TA UNKN/WV UNKN/TB LGT/RM COR TO REMOVE SFC OBS. ZLA CWSU,LGT,ZLA,2600,34.20972,-118.48917,2024
2024-12-30 14:05:00,F,GLEX,VNY UA /OV VNY/TM 1405/FL018/TP GLEX/SK OVC002/RM TOPS 018 MSL DEPARTURE END 16R,,ZLA,1800,34.20972,-118.48917,2024
2024-12-30 14:45:00,F,E75L,LAX UA /OV LAX071007/TM 1445/FL011/TP E75L/SK OVC011-TOP016,,ZLA,1100,33.976146027975474,-118.25355744385418,2024
2024-12-30 14:45:00,F,E75L,KLAX UA /OV LAX070003/TM 1445/FL011/TP E75L/SK BKN011-TOPS016,,ZLA,1100,33.955262392349255,-118.3298929032476,2024
2024-12-30 15:05:00,F,B737,BUR UA /OV KBUR/TM 1505/FL010/TP B737/WX 3SM/RM BASES 010,,ZLA,1000,34.20067,-118.35867,2024
2024-12-30 15:15:00,F,A319,LAX UA /OV LAX/TM 1515/FL007/TP A319/SK OVC007,,ZLA,700,33.93816,-118.38653,2024
2024-12-30 15:17:00,F,B737,LGB UA /OV LGB/TM 1517/FL015/TP B737/SK BASES 015 TOPS 023,,ZLA,1500,33.81179,-118.14716,2024
2024-12-30 15:25:00,F,B39M,KLAX UA /OV LAX070003/TM 1525/FL007/TP B39M/SK OVC007-TOPS016,,ZLA,700,33.955262392349255,-118.3298929032476,2024
2024-12-30 15:26:00,F,P29A,SMO UA /OV SMO250002/TM 1526/FL016/TP P29A/SK OVC009-TOP016/RM DURC RY21,,ZLA,1600,34.009598405100505,-118.48487487675732,2024
2024-12-30 16:40:00,F,CL35,VNY UA /OV VNY/TM 1640/FL011/TP CL35/SK OVC003/WX 1 1/2SM/RM FIELD IN SIGHT 011 MSL 1 1/2SM,,ZLA,1100,34.20972,-118.48917,2024
2024-12-30 16:50:00,F,E135,VNY UA /OV VNY/TM 1650/FL016/TP E135/SK OVC003/RM TOPS 016 MSL DEPARTURE END RUNWAY 16R,,ZLA,1600,34.20972,-118.48917,2024
2024-12-30 16:54:00,F,B38M,LGB UA /OV LGB120004/TM 1654/FL015/TP B38M/SK OVC015/WX HZ/RM TOPS OVC023 BASES OVC015 DURD LGB ILS RY30,,ZLA,1500,33.77845396666397,-118.0776669326998,2024
2024-12-30 17:04:00,F,SR20,LGB UA /OV KLGB180005/TM 1704/FL023/TP SR20/SK OVC014-TOP023/RM BASES 014 TOP 023,,ZLA,2300,33.72844991665992,-118.14716,2024
2024-12-30 17:24:00,F,C172,LAX UA /OV LAX140010/TM 1724/FL010/TP C172/SK OVC010-TOP015/RM DURC TOA,,ZLA,1000,33.81047558453652,-118.25738981367464,2024
2024-12-30 17:45:00,F,B737,KLAX UA /OV LAX070005/TM 1745/FL018/TP B737/SK TOPS 018 BASES 014,,ZLA,1800,33.96666398724875,-118.292134838746,2024
2024-12-30 17:55:00,F,SR22,SMO UA /OV KSMO030001/TM 1755/FL010/TP SR22/SK OVC010-TOP014/RM DURD 21,,ZLA,1000,34.035434925865204,-118.43702488306036,2024
2024-12-30 18:06:00,F,C172,LGB UA /OV LGB /TM 1806 /FL001 /TP C172 /RM NEG BR FG,,ZLA,100,33.81179,-118.14716,2024
2024-12-30 18:15:00,F,C172,TOA UA /OV 5NM SE/TM 1815/FL020/TP C172/RM TOPS 020,,ZLA,2000,33.80339,-118.33961,2024
2024-12-30 18:34:00,F,HELO,EMT UA /OV KEMT010001/TM 1834/FL005/TP HELO/WX 2,,ZLA,500,34.102414792042,-118.0315052159428,2024
2024-12-30 19:01:00,F,PRM1,VNY UA /OV VNY/TM 1901/FL020/TP PRM1/WX 4SM/RM RY 16R IN SIGHT @ 3 MILE FINAL. PILOT REPORTED 3.5 MILES VISIBILITY.,,ZLA,2000,34.20972,-118.48917,2024
2024-12-30 19:01:00,F,PRM1,VNY UA /OV VNY/TM 1901/FL020/TP PRM1/WX 4SM/RM RY 16R IN SIGHT @ 3 MILE FINAL. PILOT REPORTED 3.5 MILES VISIBILITY,,ZLA,2000,34.20972,-118.48917,2024
2024-12-30 20:18:00,F,C172,TOA UA /OV 0.5NM W/TM 2018/FL012/TP C172/SK BKN011/RM TOPS 018,,ZLA,1200,33.80339,-118.33961,2024
2024-12-30 20:38:00,F,P28A,EMT UA /OV EMT090002/TM 2038/FL020/TP P28A/WX FV05SM,,ZLA,2000,34.086,-117.99474868145302,2024
2024-12-30 20:45:00,F,B737,LGB UA /OV LGB/TM 2045/FL017/TP B737/SK TOPS 020 BASES 017,,ZLA,1700,33.81179,-118.14716,2024
2024-12-30 23:20:00,F,PC12,SMO UA /OV SMO030008/TM 2320/FL024/TP PC12/WX HZ FV01SM,,ZLA,2400,34.13647940692164,-118.3666390644828,2024
2024-12-31 00:41:00,F,C172,SMO UA /OV SMO360002/TM 0041/FL020/TP C172/WX FV07SM,,ZLA,2000,34.054336033336035,-118.44708,2024
2024-12-31 02:04:00,T,LJ45,VNY UUA /OV VNY/TM 0204/FL010/TP LJ45/RM LLWS +/-8 KT AND 100 FT UDFS DURD ON FINAL. COR MSG TYPE AND RMK. ZLA CWSU,,ZLA,1000,34.20972,-118.48917,2024
2024-12-31 14:40:00,F,B739,LAX UA /OV LAX071003/TM 1440/FL006/TP B739/SK OVC006-TOP015,,ZLA,600,33.954439726275204,-118.32954176165178,2024
2024-12-31 15:03:00,F,B737,LGB UA /OV KLGB/TM 1503/FL015/TP B737/RM TOPS 015,,ZLA,1500,33.81179,-118.14716,2024
2024-12-31 15:24:00,F,C172,VNY UA /OV VNY31003/TM 1524/FL020/TP C172/TB MODERTE/RM MOD TURB,MODERTE,ZLA,2000,34.20972,-118.48917,2024
2024-12-31 15:43:00,F,B737,LGB UA /OV LGB/TM 1543/FL016/TP B737/SK OVC004-TOP016,,ZLA,1600,33.81179,-118.14716,2024
2024-12-31 16:03:00,F,B350,LGB UA /OV WILMA/TM 1603/FL017/TP B350/SK TOPS 017,,ZLA,1700,33.81179,-118.14716,2024
2024-12-31 16:22:00,F,B737,BUR UA /OV BUR150001/TM 1622/FL010/TP B737/RM ON DEPARTURE FROM RWY 15 BASES 010 AND TOPS 017,,ZLA,1000,34.1862350741348,-118.34859350343488,2024
2024-12-31 16:22:00,F,B737,BUR UA /OV BUR/TM 1622/FL017/TP B737/SK OVC BASES 010 TOPS 017,,ZLA,1700,34.20067,-118.35867,2024
2024-12-31 16:22:00,F,B737,BUR UA /OV BUR150001/TM 1622/FL010/TP B737/RM ON DEPARTURE FROM RWY 15 BASES 010 AND TOPS 017.,,ZLA,1000,34.1862350741348,-118.34859350343488,2024
2024-12-31 16:30:00,F,B737,LGB UA /OV LGB/TM 1630/FL018/TP B737/SK OVC004-TOP018,,ZLA,1800,33.81179,-118.14716,2024
2024-12-31 16:42:00,F,B737,LGB UA /OV LGB120005/TM 1642/FL020/TP B737/SK OVC004-TOP020,,ZLA,2000,33.77011995832996,-118.06029366587477,2024
2024-12-31 16:45:00,F,B738,LAX UA /OV LAX071005/TM 1645/FL008/TP B738/SK OVC008-TOP017,,ZLA,800,33.96529287712534,-118.29154960275298,2024
2024-12-31 16:50:00,F,E55P,SMO UA /OV SMO030003/TM 1650/FL015/TP E55P/SK OVC007-TOPS017,,ZLA,1500,34.064304777595616,-118.41691464918104,2024
2024-12-31 16:50:00,F,E55P,SMO UA /OV SMO030003/TM 1650/FL015/TP E55P/SK OVC007-TOPS017/RM DURD,,ZLA,1500,34.064304777595616,-118.41691464918104,2024
2024-12-31 16:57:00,F,C172,VNY UA /OV VNY/TM 1657/FL018/TP C172/WX 10 SM/RM VISIBILITY 10 MILES ABOVE 1000 FEET,,ZLA,1800,34.20972,-118.48917,2024
2024-12-31 17:03:00,F,A319,BUR UA /OV BUR/TM 1703/FL008/TP A319/RM BASES AT THE SFC RWY 15 DEPARTURE BUR,,ZLA,800,34.20067,-118.35867,2024
